Code,Contract,Price Unit
1MF,,
3MF,,
ACF,,
AJ,,
AJRT,,
AMAF,,
AMF,,
AMMF,,
AU,,
BL1GF,,
BL2GF,,
BL3GF,,
BRL,,
BTP,,
BTR,,
BZF,,
BZNF,,
C3F,,
C5F,,
C7F,,
CN,SGX FTSE China A50 Index Futures,$
COHF,,
COMF,,
CWF,SGX Baltic Capesize Time Charter Average (5 Routes) 180 Futures,$/day
CX01F,,
CX03F,,
CX11F,,
CX13F,,
CY,SGX CNY/USD FX Futures,$/¥10
CZF,,
EAXJ,,
EC,,
EEM,,
EEMA,,
EJP,,
EJRT,,
ETP,,
FAXJ,,
FCH,,
FEF,SGX IODEX Iron Ore Futures,$/t
FEM,,
FEMA,,
FID,,
FMY,,
FNAU,,
FNAXJ,,
FNEA,,
FNEM,,
FNEMK,,
FNID,,
FNJP,,
FNMY,,
FNNZ,,
FNPH,,
FNSA,,
FNTH,,
FNTW,,
FNVN,,
FPH,,
FTH,,
FVN,,
GIN,,
GINB,,
GOF,,
HAF,,
HKC,,
HKU,,
HWF,,
ID10,,
ID3,,
ID5,,
IDR,,
IN10,,
IN3,,
IN5,,
INR,,
INX,,
IU,,
JB,,
JB20,,
JG,,
KJ,,
KRW,,
KU,,
LICF,,
LIHF,,
LPF,,
M42F,,
M58F,,
M65F,,
MCF,,
MCNAX,,
MCNEM,,
MCNEU,,
MCNJP,,
MCNUS,,
MCNWO,,
MEGF,,
MF5F,SGX Platts Marine Fuel 0.5% FOB Singapore Index Futures,$/t
MKP,,
MSF,,
MTF,,
MTWD,,
MTWN,,
MUC,,
MXF,,
MY10,,
MY3,,
MY5,,
MYR,,
MYS,,
ND,,
NJF,,
NK,,
NR,,
NS,,
NSG,,
NSP,,
NU,,
PH10,,
PH3,,
PH5,,
PHP,,
PWF,,
PXF,,
PXNF,,
RBF,,
RT,,
SGP,,
SMCF,,
SMP,,
SND,,
SORA,SGX Three-Month Singapore Overnight Rate Average (SORA) Futures,
SRT,,
ST,,
SWF,,
SY,,
SZF,,
TF,SGX SICOM TSR20 Futures,S$
TH10,,
TH3,,
TH5,,
TONA,,
TU,,
TWD,,
TWN,,
UC,,
UCTM,,
UJ,,
US,,
UY,,
VCF,,
WMP,,
YAHY,,
YARE,,
YCDD,,
YCLI,,
YDBS,,
YGEN,,
YKEP,,
YOCB,,
YSTT,,
YTBE,,
YTGL,,
YUOB,,
YWIL,,
YYZJ,,
ZACE,,
ZADS,,
ZAPN,,
ZARB,,
ZAXS,,
ZBAF,,
ZBHA,,
ZBHI,,
ZBJA,,
ZBOS,,
ZBPC,,
ZCIP,,
ZCOA,,
ZDRR,,
ZEIM,,
ZGAI,,
ZGRA,,
ZHCL,,
ZHDB,,
ZHMC,,
ZHND,,
ZHPC,,
ZHUL,,
ZICI,,
ZIHF,,
ZIIB,,
ZINF,,
ZIOC,,
ZITD,,
ZKMB,,
ZLPC,,
ZLT,,
ZMM,,
ZMSI,,
ZNTP,,
ZONG,,
ZPWG,,
ZRILA,,
ZSBI,,
ZSEA,,
ZSUN,,
ZTAM,,
ZTAT,,
ZTCS,,
ZTEC,,
ZTSM,,
ZUPL,,
ZUTC,,
ZVDA,,
ZWPR,,
ZYES,,
ZZEE,,
BTFR,,
ETFR,,
