Ticker Symbol,Contract,Note,Type,AKA1,AKA2
TXF,TAIEX Futures,,Equity index,TX,
EXF,Electronics Sector Index Futures,,Equity index,TE,
ZEF,Mini Electronics Sector Futures,,Equity index,ZEF,
FXF,Finance Sector Index Futures,,Equity index,TF,
ZFF,Mini Finance Sector Futures,,Equity index,ZFF,
MXF,Mini-TAIEX Futures,Expires on the third Wednesday of the trading month,Equity index,MTX,
MX1,Mini-TAIEX Futures,Expires on the first Wednesday of the trading month,Equity index,,
MX2,Mini-TAIEX Futures,Expires on the second Wednesday of the trading month,Equity index,,
MX4,Mini-TAIEX Futures,Expires on the fourth Wednesday of the trading month,Equity index,,
MX5,Mini-TAIEX Futures,Expires on the fifth Wednesday of the trading month,Equity index,,
MXFFX,Mini-TAIEX Flexible Futures,,Equity index,,
TMF,Micro TAIEX Futures,,Equity index,TMF,
GTF,Taipei Exchange Stock Index Futures,,Equity index,GTF,
G2F,TPEx 200 Futures,,Equity index,G2F,
E4F,F4G TIP TW ESG Futures,,Equity index,E4F,
BTF,TIP Taiwan BIO Index,,Equity index,BTF,
SOF,Semiconductor 30 Futures,,Equity index,SOF,
SHF,Shipping and Transportation Sector Futures,,Equity index,SHF,
M1F,Taiwan Mid-Cap 100 Futures,,Equity index,M1F,
XIF,Non-Finance Non-Electronics Sub-Index Futures,,Equity index,XIF,
TJF,TOPIX Futures,,Equity index,TJF,
UDF,DJIA Futures,,Equity index,UDF,
SPF,S&P 500 Futures,,Equity index,SPF,
UNF,Nasdaq-100 Futures,,Equity index,UNF,
SXF,PHLX Semiconductor Sector Futures,,Equity index,SXF,
F1F,FTSE 100 Index Futures,,Equity index,F1F,
TXO,TAIEX Options ,Expires on the third Wednesday of the trading month,Equity index,,
TX1,TAIEX Options ,Expires on the first Wednesday of the trading month,Equity index,,
TX2,TAIEX Options ,Expires on the second Wednesday of the trading month,Equity index,,
TX4,TAIEX Options ,Expires on the fourth Wednesday of the trading month,Equity index,,
TX5,TAIEX Options ,Expires on the fifth Wednesday of the trading month,Equity index,,
TXU,TAIEX Options ,Expires on the first Friday of the trading month,Equity index,,
TXV,TAIEX Options ,Expires on the second Friday of the trading month,Equity index,,
TXX,TAIEX Options ,Expires on the third Friday of the trading month,Equity index,,
TXY,TAIEX Options ,Expires on the fourth Friday of the trading month,Equity index,,
TXZ,TAIEX Options ,Expires on the fifth Friday of the trading month,Equity index,,
TEO,Electronic Sector Index Options,,Equity index,,
TFO,Finance Sector Index Options,,Equity index,,
